,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,15,1,9254,160.0,1,3,3,3,142.5,1,0,0,1,0,19,6,6,14.0,6,6,13.666666666666666,13.9,-0.3,0.79,0
3,17,2,9773,122.0,38,37,5,3,119.6,1,0,1,0,0,20,8,6,13.428571428571429,10,5,12.4,9.4,-0.8,-3.12,0
6,1,1,9500,142.0,19,38,7,10,128.4,1,0,1,0,1,18,9,7,13.3,8,8,14.345,15.5,2.8,-4.06,0
8,1,3,9238,137.0,1,1,9,9,129.3,0,0,1,0,1,21,8,6,13.875,7,6,14.142857142857142,16.2,0.3,-0.92,0
10,1,1,9670,139.0,38,19,5,7,130.6,1,0,1,0,0,18,6,6,12.333333333333334,7,5,14.2,13.9,-0.3,0.79,0
11,1,1,9500,136.0,19,38,9,9,119.3,1,0,1,0,1,18,8,7,13.214285714285714,8,7,13.214285714285714,12.7,3.7,-1.7,0
13,53,1,9254,110.0,1,1,4,7,111.8,1,0,1,0,1,21,7,6,10.571428571428571,8,5,11.0,8.9,1.4,3.51,0
14,1,1,9085,149.0,38,37,5,5,137.1,1,0,1,0,1,18,7,4,13.25,5,5,12.0,10.8,1.4,1.74,0
17,17,2,9500,135.0,19,1,5,4,127.3,1,0,1,0,0,18,8,7,13.30625,8,8,14.545,15.5,2.8,-4.06,0
23,1,4,9670,125.0,1,38,4,7,114.9,1,0,1,0,1,19,8,6,13.375,7,6,12.285714285714286,11.1,0.6,2.02,0
24,1,1,9500,126.0,19,19,3,7,123.9,0,0,1,0,0,19,8,6,13.296666666666669,9,7,14.114285714285714,11.1,0.6,2.02,0
26,17,2,9238,115.0,19,38,7,8,116.4,1,0,1,0,0,21,9,6,11.375,9,6,13.285714285714286,16.2,0.3,-0.92,0
28,1,1,9147,135.0,19,1,9,9,122.1,1,0,1,0,0,20,6,5,12.0,6,5,12.333333333333334,16.2,0.3,-0.92,0
33,18,1,8014,138.0,19,1,9,5,134.5,1,0,1,0,0,19,6,6,12.666666666666666,8,6,14.375,12.4,0.5,1.79,0
41,1,2,9147,133.0,3,19,2,7,120.4,1,0,1,0,0,22,5,5,14.8,5,5,15.8,8.9,1.4,3.51,0
42,1,6,9500,103.0,1,3,2,2,100.6,1,0,1,0,0,22,9,5,13.928,9,7,14.342857142857142,11.1,0.6,2.02,0
43,17,1,9773,120.0,1,38,5,5,121.4,0,0,0,0,0,20,7,4,13.0,7,5,13.8,12.4,0.5,1.79,1
46,17,2,9238,130.0,19,19,9,9,127.6,1,0,1,0,0,18,6,6,11.666666666666666,8,5,13.2,11.1,0.6,2.02,0
47,17,6,9500,132.0,37,19,7,7,132.4,1,0,1,0,1,22,8,6,13.516666666666666,9,7,13.771428571428572,11.1,0.6,2.02,0
49,1,1,9238,139.0,37,38,9,9,126.1,0,0,1,0,1,19,7,5,12.333333333333334,7,6,12.833333333333334,12.7,3.7,-1.7,0
55,1,1,9500,130.0,1,19,5,5,129.1,1,0,1,0,0,18,9,7,13.044444444444444,10,8,13.595,15.5,2.8,-4.06,0
